T13,Gross Value added by kind of economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
360,Indonesia,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.9,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.4,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",13.3,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,1995,Industry (% of gross value added),38.3,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2005,Industry (% of gross value added),43.1,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2010,Industry (% of gross value added),43.9,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2015,Industry (% of gross value added),41.4,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2018,Industry (% of gross value added),41.4,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2019,Industry (% of gross value added),40.6,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,1995,Services (% of gross value added),47.6,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2005,Services (% of gross value added),44.8,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2010,Services (% of gross value added),41.8,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2015,Services (% of gross value added),44.7,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2018,Services (% of gross value added),45.2,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2019,Services (% of gross value added),46.1,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",10.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),1995,Industry (% of gross value added),38.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2005,Industry (% of gross value added),47.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2010,Industry (% of gross value added),43.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2015,Industry (% of gross value added),33.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2018,Industry (% of gross value added),34.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2019,Industry (% of gross value added),34.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),1995,Services (% of gross value added),48.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2005,Services (% of gross value added),46.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2010,Services (% of gross value added),50.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2015,Services (% of gross value added),56.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2018,Services (% of gross value added),55.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2019,Services (% of gross value added),55.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,1995,Industry (% of gross value added),66.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2005,Industry (% of gross value added),63.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2010,Industry (% of gross value added),55.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2015,Industry (% of gross value added),45.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2018,Industry (% of gross value added),54.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2019,Industry (% of gross value added),51.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,1995,Services (% of gross value added),21.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2005,Services (% of gross value added),29.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2010,Services (% of gross value added),39.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2015,Services (% of gross value added),50.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2018,Services (% of gross value added),42.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2019,Services (% of gross value added),44.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.2,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.0,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.0,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.9,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.0,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,1995,Industry (% of gross value added),32.0,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2005,Industry (% of gross value added),34.2,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2010,Industry (% of gross value added),25.6,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2015,Industry (% of gross value added),41.3,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2018,Industry (% of gross value added),39.1,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2019,Industry (% of gross value added),37.6,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,1995,Services (% of gross value added),61.8,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2005,Services (% of gross value added),64.6,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2010,Services (% of gross value added),73.3,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2015,Services (% of gross value added),57.8,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2018,Services (% of gross value added),59.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2019,Services (% of gross value added),61.4,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.7,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.3,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.3,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.2,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,1995,Industry (% of gross value added),28.0,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2005,Industry (% of gross value added),24.1,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2010,Industry (% of gross value added),23.6,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2015,Industry (% of gross value added),22.5,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2018,Industry (% of gross value added),21.5,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2019,Industry (% of gross value added),20.9,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,1995,Services (% of gross value added),70.0,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2005,Services (% of gross value added),74.1,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2010,Services (% of gross value added),74.7,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2015,Services (% of gross value added),76.1,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2018,Services (% of gross value added),77.2,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2019,Services (% of gross value added),77.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.3,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.0,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.3,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.2,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.1,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,1995,Industry (% of gross value added),29.2,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2005,Industry (% of gross value added),25.8,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2010,Industry (% of gross value added),24.3,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2015,Industry (% of gross value added),23.2,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2018,Industry (% of gross value added),23.9,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2019,Industry (% of gross value added),23.9,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,1995,Services (% of gross value added),67.5,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2005,Services (% of gross value added),71.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2010,Services (% of gross value added),73.7,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2015,Services (% of gross value added),74.5,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2018,Services (% of gross value added),73.9,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2019,Services (% of gross value added),74.0,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,1995,Industry (% of gross value added),29.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2005,Industry (% of gross value added),23.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2010,Industry (% of gross value added),20.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2015,Industry (% of gross value added),22.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2018,Industry (% of gross value added),23.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2019,Industry (% of gross value added),22.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,1995,Services (% of gross value added),61.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2005,Services (% of gross value added),70.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2010,Services (% of gross value added),74.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2015,Services (% of gross value added),70.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2018,Services (% of gross value added),68.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2019,Services (% of gross value added),69.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.1,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.1,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.1,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.2,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.2,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,1995,Industry (% of gross value added),34.7,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2005,Industry (% of gross value added),30.1,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2010,Industry (% of gross value added),28.5,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2015,Industry (% of gross value added),29.2,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2018,Industry (% of gross value added),29.2,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2019,Industry (% of gross value added),28.9,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,1995,Services (% of gross value added),63.6,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2005,Services (% of gross value added),68.8,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2010,Services (% of gross value added),70.4,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2015,Services (% of gross value added),69.7,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2018,Services (% of gross value added),69.6,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2019,Services (% of gross value added),69.9,At producers' prices.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",3.7,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",4.0,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",4.9,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.4,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",5.4,Excludes irrigation canals and landscaping care.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,1995,Industry (% of gross value added),27.4,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2005,Industry (% of gross value added),27.4,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2010,Industry (% of gross value added),29.5,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2015,Industry (% of gross value added),28.1,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2018,Industry (% of gross value added),27.2,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2019,Industry (% of gross value added),27.1,Excludes publishing activities.;Includes irrigation canals.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,1995,Services (% of gross value added),67.2,Excludes repair of personal and household goods.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
